,date,aqicheddha,aqitilak,aqisindhi,aqimahul,aqichembur,avg_x,aqiman,aqideonar,aqicheeta,aqianush,aqishiv,aqigov,aqicheme,aqitrom,avg_y,favg
0,12/28/2020,325.0,270.0,270.0,270.0,351.0,297.2,270,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,283.6
1,12/29/2020,340.0,280.0,280.0,280.0,363.0,308.6,280,280.0,250.0,250.0,280.0,280.0,250.0,280.0,270.0,289.3
2,12/30/2020,363.0,273.0,273.0,273.0,273.0,291.0,273,300.0,310.0,310.0,273.0,273.0,310.0,273.0,289.8333333333333,290.41666666666663
3,12/31/2020,363.0,273.0,91.0,91.0,273.0,204.5,273,300.0,312.0,312.0,312.0,273.0,312.0,91.0,296.4,250.45
5,1/1/2021,100.0,316.0,316.0,91.0,316.0,262.0,277,314.0,314.0,91.0,312.0,314.0,363.0,314.0,262.0,262.0
6,1/2/2021,216.0,379.0,293.0,91.0,379.0,316.75,281,305.0,314.0,314.0,100.0,314.0,314.0,314.0,250.0,283.375
7,1/3/2021,204.0,379.0,293.0,314.0,318.0,301.6,215,305.0,316.0,314.0,100.0,316.0,314.0,316.0,282.3333333333333,291.9666666666667
8,1/4/2021,279.0,307.0,313.0,305.0,307.0,302.2,289,307.0,207.0,216.0,316.0,307.0,316.0,307.0,273.6666666666667,287.93333333333334
9,1/5/2021,229.0,299.0,317.0,307.0,313.0,293.0,293,293.0,293.0,216.0,307.0,307.0,316.0,293.0,296.5,294.75
10,1/6/2021,212.0,291.0,321.0,293.0,219.0,267.2,247,297.0,300.0,207.0,379.0,293.0,307.0,293.0,287.1666666666667,277.18333333333334
11,1/7/2021,214.0,283.0,325.0,313.0,225.0,272.0,301,213.0,313.0,293.0,379.0,293.0,307.0,313.0,298.6666666666667,285.33333333333337
12,1/8/2021,216.0,275.0,329.0,313.0,231.0,272.8,205,216.0,216.0,213.0,307.0,313.0,293.0,309.0,245.0,258.9
13,1/9/2021,208.0,267.0,333.0,316.0,237.0,272.2,209,219.0,219.0,291.0,302.0,316.0,305.0,305.0,259.3333333333333,265.76666666666665
14,1/10/2021,220.0,259.0,337.0,319.0,243.0,275.6,213,222.0,222.0,280.0,197.0,319.0,313.0,301.0,242.16666666666663,258.8833333333333
15,1/11/2021,201.0,251.0,341.0,322.0,249.0,272.8,217,221.0,215.0,284.0,192.0,322.0,318.0,297.0,241.83333333333331,257.31666666666666
16,1/12/2021,212.0,243.0,345.0,325.0,255.0,276.0,321,220.0,218.0,288.0,287.0,325.0,323.0,293.0,276.5,276.25
17,1/13/2021,208.0,235.0,349.0,328.0,261.0,276.2,225,300.0,231.0,292.0,282.0,328.0,328.0,289.0,276.3333333333333,276.26666666666665
18,1/14/2021,204.0,227.0,353.0,331.0,267.0,276.4,213,210.0,234.0,296.0,177.0,331.0,333.0,285.0,243.5,259.95
19,1/15/2021,200.0,219.0,351.0,334.0,265.0,273.8,301,202.0,257.0,200.0,172.0,334.0,338.0,281.0,244.33333333333331,259.06666666666666
20,1/16/2021,196.0,211.0,349.0,337.0,263.0,271.2,289,210.0,240.0,204.0,267.0,337.0,343.0,277.0,257.8333333333333,264.51666666666665
21,1/17/2021,199.0,203.0,347.0,340.0,261.0,270.0,277,198.0,213.0,208.0,262.0,340.0,348.0,273.0,249.66666666666663,259.8333333333333
22,1/18/2021,202.0,195.0,345.0,343.0,259.0,268.8,165,221.0,246.0,212.0,157.0,343.0,353.0,269.0,224.0,246.4
23,1/19/2021,205.0,187.0,343.0,180.0,257.0,234.4,153,243.0,249.0,316.0,252.0,346.0,358.0,265.0,259.8333333333333,247.11666666666667
24,1/20/2021,208.0,194.0,341.0,183.0,255.0,236.2,141,231.0,252.0,220.0,247.0,349.0,363.0,261.0,240.0,238.1
25,1/21/2021,111.0,201.0,339.0,186.0,253.0,218.0,244,255.0,265.0,224.0,242.0,352.0,368.0,257.0,263.6666666666667,240.83333333333334
26,1/22/2021,214.0,208.0,337.0,189.0,251.0,239.8,147,258.0,250.0,222.0,237.0,354.0,373.0,253.0,244.66666666666663,242.23333333333332
27,1/23/2021,217.0,215.0,335.0,192.0,249.0,241.6,250,161.0,275.0,232.0,232.0,356.0,378.0,249.0,251.0,246.3
28,1/24/2021,220.0,222.0,333.0,195.0,247.0,243.4,253,164.0,240.0,229.0,227.0,358.0,375.0,245.0,245.16666666666663,244.2833333333333
29,1/25/2021,223.0,229.0,145.0,198.0,245.0,208.0,156,167.0,265.0,226.0,122.0,360.0,372.0,241.0,216.0,212.0
30,1/26/2021,127.0,236.0,155.0,208.0,243.0,193.8,259,170.0,230.0,223.0,332.0,362.0,369.0,237.0,262.6666666666667,228.23333333333335
31,1/27/2021,131.0,243.0,165.0,218.0,141.0,179.6,162,140.0,265.0,220.0,242.0,364.0,366.0,254.0,232.16666666666663,205.88333333333333
32,1/28/2021,135.0,250.0,175.0,228.0,139.0,185.4,265,141.0,220.0,217.0,152.0,366.0,363.0,271.0,226.83333333333331,206.11666666666667
33,1/29/2021,139.0,257.0,185.0,238.0,237.0,211.2,268,112.0,235.0,214.0,262.0,368.0,360.0,288.0,243.16666666666663,227.1833333333333
34,1/30/2021,137.0,264.0,195.0,248.0,235.0,215.8,172,116.0,210.0,205.0,172.0,370.0,357.0,305.0,207.5,211.65
35,1/31/2021,135.0,271.0,205.0,258.0,133.0,200.4,176,100.0,205.0,196.0,282.0,372.0,354.0,322.0,221.83333333333331,211.11666666666667
36,2/1/2021,133.0,278.0,215.0,268.0,231.0,225.0,180,188.0,213.0,187.0,292.0,374.0,351.0,339.0,239.0,232.0
37,2/2/2021,131.0,285.0,225.0,278.0,229.0,229.6,184,178.0,201.0,178.0,302.0,376.0,348.0,356.0,236.5,233.05
38,2/3/2021,129.0,124.0,101.0,288.0,124.0,153.2,188,144.0,299.0,169.0,212.0,366.0,341.0,273.0,229.66666666666663,191.4333333333333
39,2/4/2021,127.0,124.0,101.0,298.0,124.0,212.5,292,140.0,297.0,160.0,222.0,356.0,334.0,290.0,244.5,228.5
40,2/5/2021,124.0,105.0,193.0,308.0,145.0,175.0,210,133.0,295.0,151.0,232.0,346.0,327.0,290.0,227.83333333333331,201.41666666666666
41,2/6/2021,105.0,103.0,105.0,101.0,113.0,105.4,186,133.0,224.0,142.0,142.0,336.0,320.0,101.0,206.0,155.7
42,2/7/2021,110.0,102.0,102.0,193.0,122.0,125.8,115,101.0,224.0,233.0,124.0,124.0,313.0,101.0,139.4,132.6
43,2/8/2021,99.0,108.0,111.0,122.0,167.0,121.4,155,101.0,193.0,201.0,124.0,124.0,306.0,193.0,183.0,152.2
44,2/9/2021,102.0,111.0,144.0,188.0,125.0,134.0,107,103.0,190.0,201.0,105.0,193.0,259.0,122.0,139.6,136.8
45,2/10/2021,210.0,91.0,133.0,102.0,108.0,128.8,111,111.0,160.0,193.0,108.0,134.0,259.0,111.0,136.16666666666666,132.48333333333335
46,2/11/2021,104.0,91.0,133.0,133.0,100.0,112.33333333333331,147,103.0,156.0,150.0,100.0,153.0,193.0,102.0,134.83333333333334,123.58333333333333
47,2/12/2021,105.0,100.0,245.0,108.0,102.0,132.0,178,102.0,155.0,170.0,102.0,102.0,154.0,154.0,134.83333333333334,133.41666666666669
48,2/13/2021,100.0,109.0,196.0,188.0,102.0,148.25,245,148.0,128.0,203.0,111.0,197.0,122.0,134.0,172.0,160.125
